section,order,title,year,dimensions,medium,status,price_dollars,raw_caption,image_url,src_width,src_height,orig_filename,used_original,image_id
abstracts,19,Vibrant Decay,2021,"30""x40""",Acrylic on canvas,sold,,"Vibrant Decay (2021). 30""x40"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/focus%203%20%281%20of%201%29_1628207838.jpg,3319,2454,focus 3 (1 of 1).jpg,False,209233b0-f649-11eb-bf6e-33b327d29080
abstracts,20,Untitled,2022,"12""x16""",Acrylic on canvas,sold,,"Untitled (2022). 12""x16"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/fabric%20ribbons_1651797726.jpg,1664,2223,fabric ribbons.jpg,False,5c409740-ccd5-11ec-af9a-432826feb18d
abstracts,21,Passing Through,2022,"30""x40""",Oil on canvas,sold,,"Passing Through (2022). 30""x40"", Oil on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/art_1651484690.jpg,2268,1690,art.jpg,False,85c49fc0-c9fc-11ec-8a88-217b4793b0b9
abstracts,22,Fleeting Moment,2021,"20""x20""",Acrylic on canvas,sold,,"Fleeting Moment (2021). 20""x20"", Acrylic on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/try%20again_1629662656.jpg,1319,1289,try again.jpg,True,22f3c450-0384-11ec-9c63-dd44e4f63e8e
abstracts,23,Civil Disobedience,2021,"24""x36""",Acrylic on canvas,sold,,"Civil Disobedience (2021). 24""x36"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20210924_133712350_1632618405.jpg,3286,2202,PXL_20210924_133712350.jpg,False,783a31e0-1e66-11ec-a02b-21644bed4d74
abstracts,24,Imminent,2018,"24""x24""",Oil on canvas,nfs,,"Imminent (2018). 24""x24"", Oil on canvas. NFS",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/fav_1629658463.JPG,1133,1136,fav.JPG,False,c96c5810-0384-11ec-9c63-dd44e4f63e8e
abstracts,25,Seraphic,2021,"18""x18""",Acrylic on canvas,sold,,"Seraphic (2021). 18""x18"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/wash%20%281%20of%201%29_1628207836.jpg,2473,2473,wash (1 of 1).jpg,False,00e698d0-f649-11eb-bf6e-33b327d29080
abstracts,26,Assembly,2022,"24""x48""",Acrylic on canvas,sold,,"Assembly (2022). 24”x48”, Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20220206_212215035_3%20%281%29_1645232275.jpg,2135,1063,PXL_20220206_212215035...(1).jpg,False,06786fe0-9120-11ec-8f32-4d3e31b39c4a
abstracts,27,Before and After,2021,"20""x20""",Acrylic on canvas,sold,,"Before and After (2021). 20""x20"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/gum%20%281%20of%201%29_1628207838.jpg,2532,2532,gum (1 of 1).jpg,False,15d61810-f649-11eb-bf6e-33b327d29080
abstracts,28,Abandoned,2021,"20""x20""",Acrylic on canvas,sold,,"Abandoned (2021). 20""x20"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20210205_150810_592_2_1628207834.jpg,927,894,IMG_20210205_150810_592_2.jpg,False,5df9a760-f649-11eb-bf6e-33b327d29080
abstracts,29,Curiosity,2021,"24""x24""",Acrylic on canvas,sold,,"Curiosity (2021). 24""x24"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20210711_194805910_1628207834.jpg,2914,2962,PXL_20210711_194805910.jpg,True,4a923240-f64a-11eb-bf6e-33b327d29080
abstracts,30,Recalling Rhytidome,2021,"20""x20""",Acrylic on canvas,sold,,"Recalling Rhytidome (2021). 20""x20"", Acrylic on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20210419_183651754_1628207834.jpg,2540,2562,PXL_20210419_183651754.jpg,False,59a73d30-f649-11eb-bf6e-33b327d29080
abstracts,31,Ubiquitous Surveillance,2021,"15""x30""",Acrylic on canvas,sold,,"Ubiquitous Surveillance (2021). 15""x30"", Acrylic on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20210827_210054467_1630098156.jpg,1784,3596,PXL_20210827_210054467.jpg,False,1c2f4ff0-077a-11ec-b120-b1e28c1d64ba
abstracts,32,Inviting the Light,2020,"11""x14""",Acrylic on canvas,sold,,"Inviting the Light (2020). 11”x14”, Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20200720_185338_696_2_1628209821.jpg,2081,2699,IMG_20200720_185338_696_2.jpg,False,1950f4b0-f64e-11eb-bf6e-33b327d29080
abstracts,33,The Assembly,2020,"16""x20""",Acrylic on canvas,sold,,"The Assembly (2020). 16""x20"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20200907_091443_073_2_1628209820.jpg,2267,2887,IMG_20200907_091443_073_2.jpg,False,23294000-f64e-11eb-bf6e-33b327d29080
abstracts,34,Recalling Better Days,2019,"20""x20""",Acrylic on canvas,sold,,"Recalling Better Days (2019). 20""x20"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/IMG_20200912_120826_658_2_1628209819.jpg,1183,1194,IMG_20200912_120826_658_2.jpg,False,1cd9a640-f64e-11eb-bf6e-33b327d29080
